CustomerID,Name,Email,Phone,Age,Income,Registration_Date,Status
CUST_000001,,,7566308079,40,41430.105390255565,"February 14, 2023",INACTIVE
CUST_000002,David Johnson,invalid_email_1,2088964865,33,48890.01073892694,05-05-2022,INACTIVE
CUST_000003,Sarah Johnson,user2@example.com,+18185245971,42,43052.37877909714,"August 07, 2023",Pending
CUST_000004,Jane Garcia,user3@example.com,,53,57208.36093892239,04/26/2021,Active
CUST_000005,Jane Jones,invalid_email_4,751-176-3633,32,78943.57062923825,"August 18, 2021",suspended
CUST_000006,,user5@example.com,558-949-7914,32,39579.156857175905,25-02-2020,INACTIVE
CUST_000007,,user6@example.com,(217) 252-6680,53,75016.40995536829,"September 20, 2023",Pending
CUST_000008,Sarah Johnson,user7@example.com,262-152-8488,44,39366.55855306225,13-03-2020,suspended
CUST_000009,John Jones,user8@example.com,943-673-5316,29,38047.45575006232,02/05/2020,active
CUST_000010,Sarah Garcia,user9@example.com,9672767369,41,71371.89236686427,2023-11-19,active
CUST_000011,,user10@example.com,(252) 100-5009,29,73438.72756015233,07/13/2020,active
CUST_000012,Lisa Jones,user11@example.com,,29,72028.19873525309,2021-11-08,suspended
CUST_000013,David Miller,user12@example.com,+18625437052,37,28684.051835637176,01/27/2022,active
CUST_000014,John Miller,user13@example.com,+14626072965,18,45680.98043855898,03/22/2022,active
CUST_000015,Mike Garcia,user14@example.com,6029719393,18,71459.77184006643,2021-11-05,suspended
CUST_000016,Chris Williams,user15@example.com,3926886658,28,55830.83681127789,2022-07-28,Active
CUST_000017,,user16@example.com,613-683-7489,22,33526.14307605072,07/30/2023,active
CUST_000018,Sarah Miller,invalid_email_17,5073776762,38,64166.35878250883,26-07-2021,suspended
CUST_000019,Emily Smith,user18@example.com,(247) 996-6291,24,40703.85482017059,05-09-2023,Pending
CUST_000020,Jane Brown,user19@example.com,(233) 887-3082,18,90890.49696784424,08/22/2023,active
CUST_000021,,invalid_email_20,,52,85896.82924836517,"February 07, 2022",Active
CUST_000022,Emily Jones,user21@example.com,+13778449015,32,67081.94852711135,"June 07, 2021",suspended
CUST_000023,David Miller,user22@example.com,(290) 523-2617,35,82220.13409539548,03/08/2023,Active
CUST_000024,John Garcia,user23@example.com,+16824726948,18,56295.827002467624,07-08-2021,suspended
CUST_000025,Lisa Jones,user24@example.com,6575062942,28,70308.74988750032,01/23/2021,active
CUST_000026,,user25@example.com,(975) 616-4278,36,84554.4059060415,09/26/2020,Pending
CUST_000027,Jane Jones,user26@example.com,137-630-4592,21,59909.97363588626,02/02/2023,Active
CUST_000028,David Miller,invalid_email_27,+19353853306,39,49896.25656971433,07/01/2022,suspended
CUST_000029,Emily Jones,,4616789941,27,20907.560836457684,06/01/2020,INACTIVE
CUST_000030,Sarah Garcia,user29@example.com,115-543-7276,31,53337.32948557012,01/17/2020,active
CUST_000031,Jane Smith,user30@example.com,+13002827069,27,71468.46369124623,"October 09, 2023",Pending
CUST_000032,Sarah Miller,user31@example.com,(569) 546-3674,57,73912.6685513526,03/06/2021,suspended
CUST_000033,David Smith,user32@example.com,(651) 341-2358,34,65087.3013143682,2020-09-14,active
CUST_000034,Sarah Miller,user33@example.com,(336) 360-3011,22,44174.0181007552,08-09-2021,active
CUST_000035,,user34@example.com,721-820-6642,44,20000.0,25-01-2023,active
CUST_000036,David Brown,user35@example.com,(581) 955-1536,20,45095.6980399053,2020-01-20,Pending
CUST_000037,Emily Johnson,user36@example.com,9029413198,37,48913.102578920974,25-01-2020,suspended
CUST_000038,Emily Williams,user37@example.com,5656092321,18,48741.42065619972,12/28/2021,Pending
CUST_000039,Sarah Garcia,user38@example.com,6774036945,19,67371.12713955849,06-09-2021,suspended
CUST_000040,David Garcia,user39@example.com,495-776-5690,37,94713.5282202968,"July 15, 2021",Pending
CUST_000041,Jane Jones,user40@example.com,895-473-4498,43,57470.58403682186,01/13/2021,INACTIVE
CUST_000042,Mike Jones,user41@example.com,(959) 757-5618,37,50665.36421687077,10/20/2022,active
CUST_000043,Sarah Johnson,user42@example.com,(131) 860-4554,33,49815.56373991815,2022-10-21,Pending
CUST_000044,Lisa Brown,user43@example.com,+18538173026,31,57487.695338154284,10/07/2022,INACTIVE
CUST_000045,,user44@example.com,8665378678,18,38434.124793032024,09/18/2022,active
CUST_000046,,user45@example.com,532-755-8968,26,57403.9711749211,07/19/2021,active
CUST_000047,,invalid_email_46,7617493224,29,64016.246726635996,08-02-2021,suspended
CUST_000048,,,199-181-2007,47,59193.72127148976,"August 15, 2022",active
CUST_000049,John Miller,invalid_email_48,,39,64150.83868009562,2020-12-08,active
CUST_000050,,user49@example.com,(356) 352-8672,18,63674.95218697071,27-06-2021,active
CUST_000051,David Smith,user50@example.com,+19111869949,38,20000.0,08/10/2021,suspended
CUST_000052,Sarah Jones,user51@example.com,(587) 904-6665,30,500000.0,"September 28, 2022",Pending
CUST_000053,Emily Johnson,user52@example.com,(864) 389-3334,26,41579.70308675093,10/25/2020,Active
CUST_000054,Lisa Brown,user53@example.com,(705) 331-3124,42,33083.21673992084,20-11-2021,INACTIVE
CUST_000055,Lisa Johnson,user54@example.com,+14688829069,47,32910.96344290007,15-03-2023,Active
CUST_000056,David Johnson,user55@example.com,285-566-8474,46,63670.832209450586,15-02-2023,Pending
CUST_000057,Sarah Garcia,user56@example.com,(790) 447-1784,24,50548.50145550294,02/18/2023,INACTIVE
CUST_000058,,user57@example.com,774-923-9538,31,21360.624320291783,13-10-2022,suspended
CUST_000059,Chris Jones,invalid_email_58,202-388-9623,38,64560.75630384567,"March 28, 2023",suspended
CUST_000060,,user59@example.com,(135) 332-7200,46,26207.837384023453,16-01-2022,INACTIVE
CUST_000061,Sarah Johnson,user60@example.com,+16969467491,29,57796.427170364215,"May 04, 2023",Active
CUST_000062,Lisa Smith,invalid_email_61,(617) 994-5878,32,59769.97851346109,07-06-2022,INACTIVE
CUST_000063,John Miller,user62@example.com,+11168765675,21,72711.5416339009,08/05/2020,Active
CUST_000064,Jane Johnson,user63@example.com,804-740-5040,20,90633.69572933702,2020-02-20,Active
CUST_000065,Mike Miller,user64@example.com,+19107086096,44,27706.473481989167,"November 03, 2022",suspended
CUST_000066,Chris Jones,user65@example.com,(157) 492-5004,51,53950.52287873901,2020-07-10,Pending
CUST_000067,Jane Brown,user66@example.com,(347) 233-1894,34,49473.29409911565,05/14/2022,Active
CUST_000068,Chris Jones,user67@example.com,4244177673,47,63674.993719219245,26-03-2021,Pending
CUST_000069,Lisa Jones,user68@example.com,829-781-8769,39,59313.375418672375,2023-05-30,Pending
CUST_000070,David Jones,user69@example.com,5557608409,27,47949.075145267605,03/18/2022,active
CUST_000071,John Garcia,user70@example.com,+18796839466,39,46181.95622778289,08/09/2020,INACTIVE
CUST_000072,Jane Garcia,user71@example.com,(524) 864-2284,53,32670.98289631905,07-10-2023,INACTIVE
CUST_000073,David Miller,user72@example.com,433-733-5760,34,74757.23164813018,"July 20, 2021",Pending
CUST_000074,Emily Smith,invalid_email_73,6992382059,53,64184.08363199059,11-10-2023,Pending
CUST_000075,David Brown,user74@example.com,(443) 866-8179,18,500000.0,04-04-2023,Active
CUST_000076,,invalid_email_75,7474401846,44,48792.077270489724,"March 28, 2022",Pending
CUST_000077,John Garcia,invalid_email_76,+15713189099,36,41863.29062611139,07-10-2023,Active
CUST_000078,David Jones,user77@example.com,+12405104222,31,33433.69866741545,"April 03, 2022",Active
CUST_000079,Mike Jones,user78@example.com,+14613999084,36,62178.35167481319,01/24/2020,suspended
CUST_000080,Jane Miller,user79@example.com,(824) 590-3518,18,34204.135509435306,2023-09-22,active
CUST_000081,David Miller,user80@example.com,,32,91973.261379331,"October 08, 2022",Active
CUST_000082,Sarah Johnson,user81@example.com,7602261380,39,28847.14837813119,08/18/2023,INACTIVE
CUST_000083,,user82@example.com,+13612829267,52,60473.202384250035,26-07-2021,Pending
CUST_000084,Mike Jones,,(710) 159-7473,28,86337.09414427573,06/11/2020,suspended
CUST_000085,John Jones,user84@example.com,429-600-6297,25,66981.79518527618,"May 02, 2020",suspended
CUST_000086,Emily Brown,invalid_email_85,+19876961700,28,58513.474249835584,08/17/2020,Pending
CUST_000087,John Smith,,7478141229,45,35630.32706076209,07/31/2022,Pending
CUST_000088,Emily Miller,user87@example.com,,38,27364.616228645922,22-08-2021,Active
CUST_000089,David Johnson,user88@example.com,(461) 627-8925,28,70401.00217835171,11-09-2022,Pending
CUST_000090,,user89@example.com,774-278-8926,41,85122.94481549892,03-07-2023,suspended
CUST_000091,Jane Smith,user90@example.com,+18378087456,36,46223.00019043657,02-06-2020,Active
CUST_000092,Lisa Miller,user91@example.com,(775) 231-5872,46,32218.76984767298,10-11-2023,active
CUST_000093,Jane Miller,user92@example.com,4532178481,26,20000.0,"December 05, 2020",Active
CUST_000094,Mike Johnson,user93@example.com,2598606437,31,35384.70312674924,18-10-2021,INACTIVE
CUST_000095,Lisa Jones,invalid_email_94,(322) 985-5194,30,52726.8631500192,05-04-2023,suspended
CUST_000096,,invalid_email_95,+13404354801,18,86982.46481673469,"April 01, 2021",INACTIVE
CUST_000097,Chris Johnson,user96@example.com,+17915588930,38,68462.67384465937,23-03-2020,suspended
CUST_000098,Sarah Garcia,user97@example.com,+13568393131,38,61101.70809413506,23-08-2022,suspended
CUST_000099,David Brown,user98@example.com,+18874429716,35,46997.60677397738,10-07-2021,INACTIVE
CUST_000100,Emily Brown,user99@example.com,3117812140,32,43336.68565488087,17-06-2020,active
CUST_000101,,user100@example.com,7627048169,18,83112.95195015927,"November 15, 2022",Pending
CUST_000102,Sarah Johnson,user101@example.com,(581) 588-2229,29,59014.77081516779,21-09-2021,suspended
CUST_000103,,user102@example.com,1309077765,30,20000.0,2023-05-06,active
CUST_000104,John Jones,user103@example.com,+16907101577,25,41529.207042055146,2021-11-29,Pending
CUST_000105,Sarah Jones,user104@example.com,+15035027755,33,37835.67936456746,12/20/2020,INACTIVE
CUST_000106,Sarah Smith,user105@example.com,3795853483,39,44074.7198164507,17-11-2020,suspended
CUST_000107,Jane Garcia,user106@example.com,(868) 274-5748,57,66258.2132057017,17-05-2020,Active
CUST_000108,John Johnson,user107@example.com,5336125013,37,52851.10236411501,"September 18, 2023",suspended
